name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
AG Antifa Paname,,https://www.instagram.com/ag.antifa.paname,logos/30d79a7b33bcf5e5ab43ae00c109e8834ac5430b4f90c37396f07bf2d4e9b5ef.jpg,,,,,,,,,TODO,,,,,,,,,,,,Collectifs,Assemblées,,,,,,,,,,,,,,,,,,,,,,,,
AG Antifa Rennes,,https://www.instagram.com/ag.antifa.rennes,logos/e98cdd626ce55974c2c65901329c6331a0e35649c68cbd56d959b0ecd728213f.jpg,,,,,,,,,TODO,,,,,,,,,,,,Collectifs,Assemblées,,,,,,,,,,,,,,,,,,,,,,,,
AG Logement Rennes,,https://www.facebook.com/p/Assembl%C3%A9e-Logement-Rennes-61553140167019,logos/87ffcaeff1d3f3693344b88b65b3357aacf821851e776ab51239fbe7936cd04c.jpg,https://x.com/aglogement,,,,,,,,"Mal logement, inflation des loyers et des factures, expulsions,... face à ça organisons-nous.",,,,,,,,,,,,Collectifs,Assemblées,,,,,,,,,,,,,,,,,,,,,,,,
AG Rennes 2,,https://www.instagram.com/ag.rennes2,logos/367fff5b31c4ebe2aefa84f383053dbe133b984f308dd0b156ddfe5cff7d15eb.jpg,,,,,,,,,Assemblée de lutte ouverte à toutes et tous se réunissant à Rennes 2,,,,,,,,,,,,Collectifs,Assemblées,,,,,,,,,,,,,,,,,,,,,,,,
Agone,,https://agone.org/,logos/286a83d39dd7c36aff1dd1d372139788b924219822817343d96ac2a39fe8d261.png,,,,,,,,,Proposer des livres qui fournissent au plus grand nombre des outils pour comprendre le monde dans lequel nous vivons,,,,,,,,,,,,Médias,Maisons d'édition,,,,,,,,,,,,,,,,,,,,,,,,
Archives autonomie,,https://archivesautonomies.org/,logos/8d923bfec460d4691440303e41819f76f414fab351f919ae42e6cbd102c8400f.jpg,,,,,,,,,Fragments d'histoire de la gauche radicale,,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
ASAP Révolution,,https://asap.noblogs.org,logos/e7f3cb583fd6d5fab82f1cf330117b966dfd7c0b5977087dc91568914520885c.jpeg,https://x.com/asap_revolution,,,,,,,,"Groupe révolutionnaire, contre l'État, la marchandise, le travail",,,,,,,,,,,,Collectifs,Groupes,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,,https://assembly.org.ua,logos/877cb5f55bd46d2679d2ef5a02d8d29995026ecb6d713f85a7b61aeadd72f0ca.jpg,,,,,,,,,,,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
Chuang,,https://chuangcn.org/journal,logos/dad5c6570cf61429d8f6b97c94c0e350c2ceab0a733cc112c538c9c7a6286cf5.png,https://x.com/chuangcn,,,,,,,,TODO,,,,,,,,,,,,Médias,Journaux,,,,,,,,,,,,,,,,,,,,,,,,
Coordination Autonome de Brest,,https://coordbrest.noblogs.org,logos/97e0bfba54a62bd2402e7a0418f2f40d74200e26161426a8108fc9648d7a7f57.jpg,,,,,,,,,TODO,,,,,,,,,,,,Collectifs,Groupes,,,,,,,,,,,,,,,,,,,,,,,,
